descmaq,colaborador,numapont,data,maq, qtdprodconfirmada ,numdaop,codproduto,descricaodeproduto,nomedocliente,coddepto,descdepto,codcliente,horainical,horatermino
HEIDELBERG XL 106,,4313688,2026-05-07,152007,4817,1183261/0010,2100082281,CX TPA FSC®G NAM26 NAT,NATURA VAREJO,02,OFFSET,1,16:18:04,17:42:42
SACL FOLHA 2 - ZB,,4313693,2026-05-07,165102,14200,1183067/0043,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,,01,FLEXOGRAFICA,1,16:30:41,22:00:00
CORTADEIRA SEMIGO,,4313694,2026-05-07,150003,11682,1181164/0010,2100081051,SACL PAP MAN FSC®G INST26 CASA GRA PT1,CASA GRANADO,02,OFFSET,1,16:33:57,17:29:31
REBOBINADEIRA 6,,4313701,2026-05-07,162006,29444,1184395/0005,13020905-0001,SACL PAP AUT FSC® M INST24 HAVAIANAS,HAVAIANAS,01,FLEXOGRAFICA,1,16:47:16,22:00:00
NEW LONG 14 - P,,4313705,2026-05-07,165014,4093,1181316/0030,13019528-0001,SACL PAP AUT FSC® PP DENGO,DENGO,01,FLEXOGRAFICA,1,16:55:51,22:00:00
HOT-STAMPING 6,,4313708,2026-05-07,154005,9658,1183246/0050,2100082450,SACL PAP MAN FSC®P INST26 ISA BAHIA,ISA BAHIA,02,OFFSET,1,17:00:06,22:00:00
GUILHOTINA POLAR 150,,4313710,2026-05-07,151006,124600,1182670/0010,2400000065,FUNDO FSCM 275X095MM BRANCO PCT/50, ,02,OFFSET,1,17:13:12,21:05:03
CORTADEIRA SEMIGO,,4313721,2026-05-07,150003,5834,1181164/0010,2100081051,SACL PAP MAN FSC®G INST26 CASA GRA PT1,CASA GRANADO,02,OFFSET,1,17:43:56,22:00:00
SACL FOLHA 4 - ZB,,4313723,2026-05-07,165104,23146,1183635/0041,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,17:48:41,22:00:00
CORTADEIRA FURNAX,,4313745,2026-05-07,150001,6199,1180097/0010,2100076990,SACL PAP MAN FSC® M PT1 INST25 SCHUTZ,SCHUTZ,02,OFFSET,1,18:26:06,19:16:24
SACL FOLHA 6 - ZB,,4313746,2026-05-07,165106,27717,1183635/0044,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,18:26:11,22:00:00
GUILHOTINA HERCULES,,4313755,2026-05-07,151004,48906,1180097/0015,2100076990,SACL PAP MAN FSC® M PT1 INST25 SCHUTZ,SCHUTZ,02,OFFSET,1,18:56:06,22:00:00
ONYX 808,,4313756,2026-05-07,160007,34935,1184216/0010,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,19:15:33,22:00:00
SACL FOLHA 3 - ZB,,4313758,2026-05-07,165103,24258,1183635/0040,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,19:18:42,22:00:00
GUILHOTINA 2,,4313761,2026-05-07,151002,210000,1183719/0020,2100077669,90821 REF FDO FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,19:29:30,21:48:31
CORTADEIRA FURNAX,,4313764,2026-05-07,150001,5800,1180097/0010,2100076990,SACL PAP MAN FSC® M PT1 INST25 SCHUTZ,SCHUTZ,02,OFFSET,1,19:36:46,20:10:21
FLEXO TECH,,4313767,2026-05-07,160008,11841,1184214/0010,13021351-0001,90823 SACL PAP NLF FSC®G PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,19:54:33,22:00:00
CORTADEIRA FURNAX,,4313771,2026-05-07,150001,5791,1180097/0010,2100076990,SACL PAP MAN FSC® M PT1 INST25 SCHUTZ,SCHUTZ,02,OFFSET,1,20:11:35,20:25:11
CORTADEIRA FURNAX,,4313775,2026-05-07,150001,5626,1180097/0010,2100076990,SACL PAP MAN FSC® M PT1 INST25 SCHUTZ,SCHUTZ,02,OFFSET,1,20:27:25,21:01:49
CORTADEIRA FURNAX,,4313783,2026-05-07,150001,6052,1180097/0010,2100076990,SACL PAP MAN FSC® M PT1 INST25 SCHUTZ,SCHUTZ,02,OFFSET,1,21:01:49,22:00:00
GUILHOTINA POLAR 150,,4313786,2026-05-07,151006,36000,1183720/0020,2100077670,90822 REF FDO FSC®M PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,21:05:34,22:00:00
SACL FOLHA 9 - ZB,,4313787,2026-05-07,165109,4270,1183067/0040,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,21:15:12,22:00:00
GUILHOTINA 2,,4313793,2026-05-07,151002,16800,1184288/0030,2100077672,90823 REF FDO FSC®G PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,21:49:03,22:00:00
SACL FOLHA 5 - ZB,,4313812,2026-05-07,165105,20984,1183066/0030,13021351-0001,90823 SACL PAP NLF FSC®G PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,23:33:13
SACL FOLHA 7 - ZB,,4313814,2026-05-07,165107,148,1183635/0043,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,22:48:12
NEW LONG 22,,4313828,2026-05-07,165022,28703,1181684/0030,13020806-0001,SACL PAP AUT FSC® M INST24 AVATIM,AVATIM,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 13 M - WEBER,,4313829,2026-05-07,165013,33617,1183949/0020,13020905-0001,SACL PAP AUT FSC® M INST24 HAVAIANAS,HAVAIANAS,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 12 - G,,4313831,2026-05-07,165012,24522,1181690/0030,13020747-0001,SACL PAP AUT FSC® M INST24 CASA BAU,BAUDUCCO,01,FLEXOGRAFICA,1,22:00:00,06:00:00
REBOBINADEIRA 6,,4313833,2026-05-07,162006,21658,1184395/0005,13020905-0001,SACL PAP AUT FSC® M INST24 HAVAIANAS,HAVAIANAS,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 3,,4313834,2026-05-07,165003,27484,1183017/0020,13020033-0001,SACL PAP AUT FSC® P INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,22:00:00,06:00:00
HOT BOBINA 02,,4313836,2026-05-07,175002,13325,1184214/0020,13021351-0001,90823 SACL PAP NLF FSC®G PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,22:00:00,06:00:00
NEW LONG 17 P,,4313837,2026-05-07,165017,23040,1181566/0020,13019192-0001,50381316 SACL PAP AUT FSC® P GEN NAT,NATURA CHILE,01,FLEXOGRAFICA,1,22:00:00,06:00:00
HOT BOBINA 01 ,,4313838,2026-05-07,175001,22701,1184216/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,22:00:00,06:00:00
HOT BOBINA 03,,4313839,2026-05-07,175003,490,1184216/0025,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,22:00:00,00:27:46
ROLAND 702,,4313841,2026-05-07,152005,26733,1181164/0030,2100081051,SACL PAP MAN FSC®G INST26 CASA GRA PT1,CASA GRANADO,02,OFFSET,1,22:00:00,06:00:00
TORCEDEIRA 12 GALAN,,4313862,2026-05-07,163012,212104,1181475/0030,2200000311,FIO P.T FSCM - A28 - LARANJA - P159C, ,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 4,,4313865,2026-05-07,165004,15672,1182988/0040,13021348-0001,90819 SACL PAP AUT FSC®PP PDVG INST25 BO,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 10 INDUSTRIAL,,4313869,2026-05-07,165010,25450,1181884/0020,13019479-0002,SACL PAP AUT FSC® M V2 INST22 RENNER,,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 11 - P,,4313870,2026-05-07,165011,9009,1183772/0020,13019433-0003,SACL PAP AUT FSC® P INST23 V3 LUPO,LUPO,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 14 - P,,4313871,2026-05-07,165014,1050,1181316/0030,13019528-0001,SACL PAP AUT FSC® PP DENGO,DENGO,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 24,,4313876,2026-05-07,165024,17532,1183783/0020,13020817-0001,SACL PAP AUT FSC® G INST24 DECATHLON,DECATHLON,01,FLEXOGRAFICA,1,22:00:00,06:00:00
ONYX 808,,4313949,2026-05-07,160007,76843,1184216/0010,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,06:00:00
FLEXO TECH,,4313950,2026-05-07,160008,29977,1184214/0010,13021351-0001,90823 SACL PAP NLF FSC®G PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,06:00:00
REBOBINADEIRA 1,,4313951,2026-05-07,162001,28154,1183500/0020,2400003404,FIO CHATA FSCM - C03 - PARDO - XXXX, ,01,FLEXOGRAFICA,1,22:00:00,06:00:00
HOT-STAMPING 6,,4313953,2026-05-07,154005,3921,1183246/0050,2100082450,SACL PAP MAN FSC®P INST26 ISA BAHIA,ISA BAHIA,02,OFFSET,1,22:00:00,22:27:08
NEW LONG 21,,4313956,2026-05-07,165021,12921,1183774/0050,13021508-0001,SACL PAP AUT NLF M INST26 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,22:00:00,06:00:00
GUILHOTINA HERCULES,,4313963,2026-05-07,151004,8993,1180097/0015,2100076990,SACL PAP MAN FSC® M PT1 INST25 SCHUTZ,SCHUTZ,02,OFFSET,1,22:00:44,23:59:18
SACL BOBINA 10 - ZB ,,4313964,2026-05-07,165110,28004,1183067/0041,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:02:38,06:00:00
CORTADEIRA FURNAX,,4313979,2026-05-07,150001,31761,1180097/0010,2100076990,SACL PAP MAN FSC® M PT1 INST25 SCHUTZ,SCHUTZ,02,OFFSET,1,22:13:13,02:34:04
ROLAND 704,,4313982,2026-05-07,152006,44911,1180097/0020,2100076990,SACL PAP MAN FSC® M PT1 INST25 SCHUTZ,SCHUTZ,02,OFFSET,1,22:16:29,03:16:03
TORCEDEIRA 11 GALAN,,4313985,2026-05-07,163011,51000,1183320/0020,2200000017,FIO P.T FSCM - A02 - PARDO - XXXX, ,01,FLEXOGRAFICA,1,22:17:00,06:00:00
SACL FOLHA 4 - ZB,,4313996,2026-05-07,165104,24516,1183635/0041,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:19:44,06:00:00
MK HEIDELBERG PROMATRIX 2,,4313998,2026-05-07,155012,23635,1184044/0015,11054225-0001,4853100 CTCHO NUTREL PROF BGX50G ACHE,ANTILHAS INDUSTRIA,02,OFFSET,1,22:22:20,06:00:00
NEW LONG 23,,4313999,2026-05-07,165023,23040,1181566/0021,13019192-0001,50381316 SACL PAP AUT FSC® P GEN NAT,NATURA CHILE,01,FLEXOGRAFICA,1,22:23:33,06:00:00
SACL FOLHA 6 - ZB,,4314001,2026-05-07,165106,15038,1183635/0044,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:24:12,06:00:00
SACL FOLHA 3 - ZB,,4314003,2026-05-07,165103,21072,1183635/0040,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:26:44,06:00:00
C/V HEIDELBERG PROMATRIX 1 ,,4314004,2026-05-07,155010,34372,1184058/0040,2100069921,SACL PAP SAUT FSC P LOJA23 NATURA,NATURA VAREJO,02,OFFSET,1,22:28:11,05:57:43
HOT-STAMPING 6,,4314005,2026-05-07,154005,8491,1183246/0050,2100082450,SACL PAP MAN FSC®P INST26 ISA BAHIA,ISA BAHIA,02,OFFSET,1,22:27:08,04:31:11
SILK SCREEN 2 - CAST&CURE,,4314007,2026-05-07,153002,4184,1184078/0010,11053991-0001,4721000 CTCHO FSC® NUTRE REPAIR 20G ACH,ANTILHAS INDUSTRIA,02,OFFSET,1,22:30:48,06:00:00
MK HEIDELBERG PROMATRIX 3 ,,4314010,2026-05-07,155013,22045,1183246/0060,2100082450,SACL PAP MAN FSC®P INST26 ISA BAHIA,ISA BAHIA,02,OFFSET,1,22:38:44,05:49:57
CORTADEIRA SEMIGO,,4314011,2026-05-07,150003,4132,1181164/0010,2100081051,SACL PAP MAN FSC®G INST26 CASA GRA PT1,CASA GRANADO,02,OFFSET,1,22:43:20,23:07:26
SACL FOLHA 8 - ZB,,4314012,2026-05-07,165108,27623,1183635/0042,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:44:12,06:00:00
HEIDELBERG XL 106,,4314019,2026-05-07,152007,7136,1184322/0050,11055247-0001,4852402 CTCHO FSC® CLAIR OLHOS CORE ACHE,ANTILHAS INDUSTRIA,02,OFFSET,1,23:11:53,02:53:04
GUILHOTINA HERCULES,,4314026,2026-05-07,151004,38817,1181164/0020,2100081051,SACL PAP MAN FSC®G INST26 CASA GRA PT1,CASA GRANADO,02,OFFSET,1,23:59:18,02:56:05
SACOS FUNDO MATADOR 1 - HOLWEG,,4314027,2026-05-07,166006,31178,1183661/0020,13020652-0001,SACL PAP AUT FSC® PP HWG INST24 CBC,CHOC BRASIL CACAU,01,FLEXOGRAFICA,1,00:27:24,06:00:00
HOT BOBINA 03,,4314030,2026-05-07,175003,10419,1184216/0025,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,00:28:05,06:00:00
SACL FOLHA 2 - ZB,,4314032,2026-05-07,165102,16175,1183067/0043,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:50:45,06:00:00
SACL FOLHA 1 - ZB,,4314035,2026-05-07,165101,23735,1183067/0042,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:58:45,06:00:00
CORTADEIRA FURNAX,,4314043,2026-05-07,150001,229,1182428/0010,2100081622,ALCA SACL PAP MAN FSC®G RETOR KRAFT ANTI,ANTILHAS GRAFICA,02,OFFSET,1,02:34:42,03:08:02
HEIDELBERG XL 106,,4314046,2026-05-07,152007,14304,1183261/0020,2100082281,CX TPA FSC®G NAM26 NAT,NATURA VAREJO,02,OFFSET,1,02:53:24,06:00:00
GUILHOTINA HERCULES,,4314048,2026-05-07,151004,163,1182428/0020,2100081622,ALCA SACL PAP MAN FSC®G RETOR KRAFT ANTI,ANTILHAS GRAFICA,02,OFFSET,1,02:56:37,04:05:35
REINAFLEX,,4314049,2026-05-07,160011,35936,1183783/0010,13020817-0001,SACL PAP AUT FSC® G INST24 DECATHLON,DECATHLON,01,FLEXOGRAFICA,1,03:05:03,06:00:00
CORTADEIRA FURNAX,,4314051,2026-05-07,150001,2828,1183589/0010,11054561-0001,SACL PAP AUT FSC®M INST26 BROOKSFIELD,BROOKSFIELD,02,OFFSET,1,03:08:22,03:48:31
ROLAND 704,,4314055,2026-05-07,152006,16085,1180097/0021,2100076990,SACL PAP MAN FSC® M PT1 INST25 SCHUTZ,SCHUTZ,02,OFFSET,1,03:42:09,06:00:00
GUILHOTINA HERCULES,,4314059,2026-05-07,151004,5487,1183589/0020,11054561-0001,SACL PAP AUT FSC®M INST26 BROOKSFIELD,BROOKSFIELD,02,OFFSET,1,04:06:07,06:00:00
SACL FOLHA 9 - ZB,,4314060,2026-05-07,165109,8108,1183067/0040,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,04:10:15,06:00:00
TORCEDEIRA 10 GALAN,,4314070,2026-05-07,163010,51062,1183320/0022,2200000017,FIO P.T FSCM - A02 - PARDO - XXXX, ,01,FLEXOGRAFICA,1,05:43:58,06:00:00
SACL FOLHA 5 - ZB,,4314089,2026-05-08,165105,24167,1183066/0030,13021351-0001,90823 SACL PAP NLF FSC®G PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,07:14:16
SACL FOLHA 7 - ZB,,4314091,2026-05-08,165107,24737,1183635/0043,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,07:16:16
HOT BOBINA 02,,4314104,2026-05-08,175002,3662,1184214/0020,13021351-0001,90823 SACL PAP NLF FSC®G PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:00:00,06:40:27
NEW LONG 24,,4314107,2026-05-08,165024,29313,1183783/0020,13020817-0001,SACL PAP AUT FSC® G INST24 DECATHLON,DECATHLON,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 21,,4314109,2026-05-08,165021,18100,1183774/0050,13021508-0001,SACL PAP AUT NLF M INST26 KOP,,01,FLEXOGRAFICA,1,06:00:00,14:00:00
SACOS FUNDO MATADOR 1 - HOLWEG,,4314111,2026-05-08,166006,2240,1183661/0020,13020652-0001,SACL PAP AUT FSC® PP HWG INST24 CBC,CHOC BRASIL CACAU,01,FLEXOGRAFICA,1,06:00:00,14:00:00
ROLAND 704,,4314112,2026-05-08,152006,9712,1180097/0021,2100076990,SACL PAP MAN FSC® M PT1 INST25 SCHUTZ,SCHUTZ,02,OFFSET,1,06:00:00,13:26:20
HEIDELBERG XL 106,,4314113,2026-05-08,152007,6636,1183261/0020,2100082281,CX TPA FSC®G NAM26 NAT,NATURA VAREJO,02,OFFSET,1,06:00:00,06:41:43
ROLAND 702,,4314114,2026-05-08,152005,103500,1181164/0030,2100081051,SACL PAP MAN FSC®G INST26 CASA GRA PT1,,02,OFFSET,1,06:00:00,14:00:00
NEW LONG 22,,4314118,2026-05-08,165022,6502,1181684/0030,13020806-0001,SACL PAP AUT FSC® M INST24 AVATIM,AVATIM,01,FLEXOGRAFICA,1,06:00:00,14:00:00
MK HEIDELBERG PROMATRIX 2,,4314120,2026-05-08,155012,2009,1184044/0015,11054225-0001,4853100 CTCHO NUTREL PROF BGX50G ACHE,ANTILHAS INDUSTRIA,02,OFFSET,1,06:00:00,06:37:34
MAQUINA JANELEIRA,,4314133,2026-05-08,156016,12466,1183974/0050,11054960-0001,96583 CTCHO ENV C VISOR FSC®M NAM26 BOT,BOTICARIO,02,OFFSET,1,06:00:00,14:00:00
TORCEDEIRA 12 GALAN,,4314146,2026-05-08,163012,184020,1181475/0030,2200000311,FIO P.T FSCM - A28 - LARANJA - P159C, ,01,FLEXOGRAFICA,1,06:00:00,13:57:57
NEW LONG 10 INDUSTRIAL,,4314152,2026-05-08,165010,43014,1181884/0020,13019479-0002,SACL PAP AUT FSC® M V2 INST22 RENNER,RENNER,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 11 - P,,4314153,2026-05-08,165011,16833,1183772/0020,13019433-0003,SACL PAP AUT FSC® P INST23 V3 LUPO,LUPO,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 14 - P,,4314155,2026-05-08,165014,20024,1181316/0030,13019528-0001,SACL PAP AUT FSC® PP DENGO,DENGO,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 23,,4314160,2026-05-08,165023,30720,1181566/0021,13019192-0001,50381316 SACL PAP AUT FSC® P GEN NAT,NATURA CHILE,01,FLEXOGRAFICA,1,06:00:00,14:00:00
GUILHOTINA 2,,4314172,2026-05-08,151002,24000,1184288/0030,2100077672,90823 REF FDO FSC®G PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:00:00,13:35:55
WEBER 01,,4314184,2026-05-08,174001,16114,1178499/0010,13021253-0001,CDSM SACL PAP AUT FF FSC®M CAP VCAMARAO,VIVENDA DO CAMARAO,08,CAJAMAR,1,06:00:00,14:00:00
SACL BOBINA 10 - ZB ,,4314229,2026-05-08,165110,34812,1183067/0041,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,13:15:03
NEW LONG 4,,4314237,2026-05-08,165004,11700,1182988/0040,13021348-0001,90819 SACL PAP AUT FSC®PP PDVG INST25 BO,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,14:00:00
SILK SCREEN 2 - CAST&CURE,,4314238,2026-05-08,153002,3457,1184078/0010,11053991-0001,4721000 CTCHO FSC® NUTRE REPAIR 20G ACH,ANTILHAS INDUSTRIA,02,OFFSET,1,06:00:00,06:56:28
HOT BOBINA 01 ,,4314240,2026-05-08,175001,30223,1184216/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:01:36,14:00:00
FLEXO TECH,,4314242,2026-05-08,160008,66210,1184214/0010,13021351-0001,90823 SACL PAP NLF FSC®G PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:06:56,14:00:00
ONYX 808,,4314251,2026-05-08,160007,7261,1184216/0010,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:11:04,14:00:00
LAMINADORA ZFM1080S,,4314252,2026-05-08,161007,11507,1183195/0050,2100079330,ENV PAP MAN FSC®PP ECOM25 T&F,TRACK & FIELD,01,FLEXOGRAFICA,1,06:12:48,14:00:00
MK HEIDELBERG PROMATRIX 2,,4314258,2026-05-08,155012,10394,1184044/0015,11054225-0001,4853100 CTCHO NUTREL PROF BGX50G ACHE,ANTILHAS INDUSTRIA,02,OFFSET,1,06:37:34,09:34:07
HOT BOBINA 03,,4314260,2026-05-08,175003,17662,1184216/0025,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:38:40,14:00:00
HOT BOBINA 02,,4314273,2026-05-08,175002,23576,1184214/0020,13021351-0001,90823 SACL PAP NLF FSC®G PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:40:27,13:36:22
NEW LONG 3,,4314279,2026-05-08,165003,27220,1183017/0020,13020033-0001,SACL PAP AUT FSC® P INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,06:41:51,14:00:00
HEIDELBERG XL 106,,4314281,2026-05-08,152007,5196,1183261/0020,2100082281,CX TPA FSC®G NAM26 NAT,NATURA VAREJO,02,OFFSET,1,06:42:01,08:51:32
COLADEIRA DGM,,4314292,2026-05-08,156015,37352,1182372/0060,13018792-0001,CX TIPO E 6 PTS DE COLA FSC® PRES M LUPO,LUPO,02,OFFSET,1,06:54:04,12:55:53
SILK SCREEN 2 - CAST&CURE,,4314293,2026-05-08,153002,1071,1184078/0010,11053991-0001,4721000 CTCHO FSC® NUTRE REPAIR 20G ACH,ANTILHAS INDUSTRIA,02,OFFSET,1,06:56:28,07:41:39
C/V AUTO VARIMATRIX 3,,4314300,2026-05-08,155007,3247,1183604/0030,2400007998,CAPA INT SILK CX TIPO E ECOM M T&F,TRACK & FIELD,02,OFFSET,1,07:10:04,12:26:15
SACL FOLHA 5 - ZB,,4314304,2026-05-08,165105,18493,1183066/0030,13021351-0001,90823 SACL PAP NLF FSC®G PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,07:14:16,14:00:00
APLICADORA DE ALÇA 2,,4314310,2026-05-08,168003,21303,1181575/0070,11054561-0001,SACL PAP AUT FSC®M INST26 BROOKSFIELD,BROOKSFIELD,08,CAJAMAR,1,07:18:01,13:01:47
NEW LONG 17 P,,4314311,2026-05-08,165017,23040,1181566/0020,13019192-0001,50381316 SACL PAP AUT FSC® P GEN NAT,NATURA CHILE,01,FLEXOGRAFICA,1,07:19:46,14:00:00
SACL FOLHA 2 - ZB,,4314320,2026-05-08,165102,25994,1183067/0043,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,07:44:49,14:00:00
SACL FOLHA 1 - ZB,,4314321,2026-05-08,165101,29211,1183067/0042,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,07:45:49,14:00:00
SACL FOLHA 4 - ZB,,4314329,2026-05-08,165104,30843,1183635/0041,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,08:01:49,14:00:00
HOT-STAMPING 6,,4314330,2026-05-08,154005,17974,1183261/0030,2100082281,CX TPA FSC®G NAM26 NAT,NATURA VAREJO,02,OFFSET,1,08:03:13,14:00:00
CORTADEIRA SEMIGO,,4314332,2026-05-08,150003,1596,1181166/0010,2100081052,SACL PAP MAN FSC®G INST26 CASA GRA PT2,CASA GRANADO,02,OFFSET,1,08:16:26,08:31:13
SILK SCREEN 2 - CAST&CURE,,4314337,2026-05-08,153002,6871,1184322/0060,11055247-0001,4852402 CTCHO FSC® CLAIR OLHOS CORE ACHE,ANTILHAS INDUSTRIA,02,OFFSET,1,08:20:40,14:00:00
REINAFLEX,,4314345,2026-05-08,160011,8704,1184425/0019,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,08:47:23,14:00:00
CORTADEIRA SEMIGO,,4314349,2026-05-08,150003,8230,1181166/0010,2100081052,SACL PAP MAN FSC®G INST26 CASA GRA PT2,CASA GRANADO,02,OFFSET,1,09:01:33,10:04:41
C/V HEIDELBERG PROMATRIX 1 ,,4314350,2026-05-08,155010,6507,1183713/0031,11055202-0001,439441.00 CX FDO FSC® COFFE NAT26 ANT,,02,OFFSET,1,09:04:18,14:00:00
COLADEIRA BAG MACHINE BRISA,,4314352,2026-05-08,156009,9416,1184058/0050,2100069921,SACL PAP SAUT FSC P LOJA23 NATURA,NATURA VAREJO,02,OFFSET,1,09:14:48,13:55:50
GUILHOTINA POLAR 150,,4314354,2026-05-08,151006,114000,1183720/0020,2100077670,90822 REF FDO FSC®M PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,09:20:44,11:13:13
MK HEIDELBERG PROMATRIX 3 ,,4314355,2026-05-08,155013,14112,1183261/0040,2100082281,CX TPA FSC®G NAM26 NAT,NATURA VAREJO,02,OFFSET,1,09:21:12,13:26:20
COLADEIRA EASYGLUER 100 2,,4314356,2026-05-08,156005,18000,1183173/0060,2100080954,CX FDO P PRES INST26 BC,CHOC BRASIL CACAU,02,OFFSET,1,09:23:14,09:26:14
GUILHOTINA HERCULES,,4314367,2026-05-08,151004,42064,1181166/0020,2100081052,SACL PAP MAN FSC®G INST26 CASA GRA PT2,CASA GRANADO,02,OFFSET,1,09:53:06,14:00:00
SACL FOLHA 6 - ZB,,4314368,2026-05-08,165106,24304,1183635/0044,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,09:54:17,14:00:00
SACL FOLHA 9 - ZB,,4314373,2026-05-08,165109,15956,1183067/0040,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,10:13:17,14:00:00
CORTADEIRA SEMIGO,,4314374,2026-05-08,150003,12024,1181166/0010,2100081052,SACL PAP MAN FSC®G INST26 CASA GRA PT2,CASA GRANADO,02,OFFSET,1,10:13:47,11:08:58
